Currency,Report Date,Date/Time,Description,Symbol,ISIN,Numerator,Denominator
USD,2020-08-31,2020-08-28 20:25:00,"TSLA(US88160R1014) Split 5 for 1 (TSLA, TESLA INC, US88160R1014)",TSLA,US88160R1014,5,1
USD,2020-08-31,2020-08-31,"AAPL(US0378331005) Split 4 for 1 (AAPL, Apple Inc., US0378331005)",AAPL,US0378331005,4,1
USD,2021-05-24,2021-05-21 20:25:00,"IAU(US4642851053) Split 1 for 2 (IAU, ISHARES GOLD TRUST, US4642852044)",IAU,US4642851053,1,2
USD,2021-05-24,2021-05-21 20:25:00,"IAU(US4642851053) Split 1 for 2 (IAU.OLD, ISHARES GOLD TRUST, US4642851053)",IAU,US4642851053,1,2
USD,2021-07-20,2021-07-20 20:25:00,"NVDA(US67066G1040) Split 4 for 1 (NVDA, NVIDIA CORP, US67066G1040)",NVDA,US67066G1040,4,1
EUR,2021-09-02,2021-09-02,"FTK(DE000FTG1111) Split 4 for 1 (FTK, flatexDEGIRO AG, DE000FTG1111)",FTK,DE000FTG1111,4,1
EUR,2022-08-25,2022-08-24 20:25:00,"TL0(US88160R1014) Split 3 for 1 (TL0, TESLA INC, US88160R1014)",TL0,US88160R1014,3,1
USD,2022-06-06,2022-06-03 20:25:00,"AMZN(US0231351067) Split 20 for 1 (AMZN, AMAZON.COM INC, US0231351067)",AMZN,US0231351067,20,1
USD,2022-06-29,2022-06-28 20:25:00,"SHOP(CA82509L1076) Split 10 for 1 (SHOP, SHOPIFY INC - CLASS A, CA82509L1076)",SHOP,CA82509L1076,10,1
USD,2022-07-18,2022-07-15 20:25:00,"GOOG(US02079K1079) Split 20 for 1 (GOOG, ALPHABET INC-CL C, US02079K1079)",GOOG,US02079K1079,20,1
USD,2022-07-18,2022-07-15 20:25:00,"GOOGL(US02079K3059) Split 20 for 1 (GOOGL, ALPHABET INC-CL A, US02079K3059)",GOOGL,US02079K3059,20,1
USD,2022-08-25,2022-08-24 20:25:00,"TSLA(US88160R1014) Split 3 for 1 (TSLA, TESLA INC, US88160R1014)",TSLA,US88160R1014,3,1
USD,2024-06-10,2024-06-07 20:25:00,"NVDA(US67066G1040) Split 10 for 1 (NVDA, NVIDIA CORP, US67066G1040)",NVDA,US67066G1040,10,1
CAD,2020-05-11,2020-05-11,"ACB(CA05156X8843) Split 1 for 12 (ACB, Aurora Cannabis Inc., CA05156X8843)",ACB,CA05156X8843,1,12
CAD,2024-02-20,2024-02-20,"ACB(CA05156X8843) Split 1 for 10 (ACB, Aurora Cannabis Inc., CA05156X8843)",ACB,CA05156X8843,1,10
